booking_id,stay_date,booking_date
1,01012024,02122023
2,01012024,02122023
3,01012024,02122023
4,01012024,02122023
5,01012024,02122023
6,01012024,02122023
7,01012024,02122023
8,01012024,02122023
9,01012024,02122023
10,01012024,02122023
11,01012024,02122023
12,01012024,02122023
13,01012024,02122023
14,01012024,02122023
15,01012024,02122023
16,01012024,02122023
17,01012024,02122023
18,01012024,02122023
19,01012024,02122023
20,01012024,02122023
21,01012024,02122023
22,01012024,02122023
23,01012024,02122023
24,01012024,02122023
25,01012024,03122023
26,01012024,03122023
27,01012024,03122023
28,01012024,04122023
29,01012024,05122023
30,01012024,05122023
31,01012024,05122023
32,01012024,05122023
33,01012024,06122023
34,01012024,07122023
35,01012024,07122023
36,01012024,07122023
37,01012024,11122023
38,01012024,12122023
39,01012024,12122023
40,01012024,12122023
41,01012024,15122023
42,01012024,15122023
43,01012024,15122023
44,01012024,15122023
45,01012024,15122023
46,01012024,15122023
47,01012024,18122023
48,01012024,18122023
49,01012024,18122023
50,01012024,19122023
51,01012024,19122023
52,01012024,19122023
53,01012024,19122023
54,01012024,21122023
55,01012024,21122023
56,01012024,21122023
57,01012024,25122023
58,01012024,25122023
59,01012024,25122023
60,01012024,25122023
61,01012024,25122023
62,01012024,25122023
63,01012024,25122023
64,01012024,29122023
65,01012024,29122023
66,01012024,29122023
67,01012024,29122023
68,01012024,01012024
69,02012024,03122023
70,02012024,03122023
71,02012024,03122023
72,02012024,03122023
73,02012024,03122023
74,02012024,03122023
75,02012024,03122023
76,02012024,03122023
77,02012024,03122023
78,02012024,03122023
79,02012024,03122023
80,02012024,03122023
81,02012024,03122023
82,02012024,03122023
83,02012024,03122023
84,02012024,03122023
85,02012024,03122023
86,02012024,03122023
87,02012024,03122023
88,02012024,03122023
89,02012024,03122023
90,02012024,03122023
91,02012024,03122023
92,02012024,03122023
93,02012024,03122023
94,02012024,03122023
95,02012024,03122023
96,02012024,03122023
97,02012024,03122023
98,02012024,05122023
99,02012024,06122023
100,02012024,06122023
101,02012024,06122023
102,02012024,08122023
103,02012024,08122023
104,02012024,08122023
105,02012024,10122023
106,02012024,10122023
107,02012024,13122023
108,02012024,15122023
109,02012024,15122023
110,02012024,17122023
111,02012024,17122023
112,02012024,17122023
113,02012024,18122023
114,02012024,18122023
115,02012024,18122023
116,02012024,18122023
117,02012024,20122023
118,02012024,22122023
119,02012024,23122023
120,02012024,23122023
121,02012024,23122023
122,02012024,23122023
123,02012024,23122023
124,02012024,23122023
125,02012024,23122023
126,02012024,23122023
127,02012024,23122023
128,02012024,27122023
129,02012024,27122023
130,02012024,27122023
131,02012024,30122023
132,02012024,30122023
133,02012024,30122023
134,02012024,30122023
135,02012024,30122023
136,02012024,02012024
137,03012024,04122023
138,03012024,04122023
139,03012024,04122023
140,03012024,04122023
141,03012024,04122023
142,03012024,04122023
143,03012024,04122023
144,03012024,04122023
145,03012024,04122023
146,03012024,04122023
147,03012024,04122023
148,03012024,04122023
149,03012024,04122023
150,03012024,04122023
151,03012024,04122023
152,03012024,04122023
153,03012024,04122023
154,03012024,04122023
155,03012024,04122023
156,03012024,04122023
157,03012024,04122023
158,03012024,04122023
159,03012024,04122023
160,03012024,04122023
161,03012024,05122023
162,03012024,06122023
163,03012024,06122023
164,03012024,07122023
165,03012024,08122023
166,03012024,09122023
167,03012024,09122023
168,03012024,09122023
169,03012024,09122023
170,03012024,09122023
171,03012024,09122023
172,03012024,10122023
173,03012024,12122023
174,03012024,12122023
175,03012024,14122023
176,03012024,14122023
177,03012024,14122023
178,03012024,14122023
179,03012024,18122023
180,03012024,18122023
181,03012024,18122023
182,03012024,20122023
183,03012024,20122023
184,03012024,20122023
185,03012024,21122023
186,03012024,21122023
187,03012024,21122023
188,03012024,21122023
189,03012024,24122023
190,03012024,24122023
191,03012024,24122023
192,03012024,24122023
193,03012024,24122023
194,03012024,24122023
195,03012024,29122023
196,03012024,29122023
197,03012024,30122023
198,03012024,30122023
199,03012024,30122023
200,03012024,30122023
201,03012024,03012024
202,03012024,03012024
203,04012024,05122023
204,04012024,05122023
205,04012024,05122023
206,04012024,05122023
207,04012024,05122023
208,04012024,05122023
209,04012024,05122023
210,04012024,05122023
211,04012024,05122023
212,04012024,05122023
213,04012024,05122023
214,04012024,05122023
215,04012024,05122023
216,04012024,05122023
217,04012024,05122023
218,04012024,05122023
219,04012024,05122023
220,04012024,05122023
221,04012024,05122023
222,04012024,05122023
223,04012024,05122023
224,04012024,05122023
225,04012024,05122023
226,04012024,05122023
227,04012024,05122023
228,04012024,05122023
229,04012024,05122023
230,04012024,05122023
231,04012024,05122023
232,04012024,05122023
233,04012024,05122023
234,04012024,06122023
235,04012024,08122023
236,04012024,08122023
237,04012024,08122023
238,04012024,09122023
239,04012024,12122023
240,04012024,12122023
241,04012024,12122023
242,04012024,12122023
243,04012024,14122023
244,04012024,15122023
245,04012024,15122023
246,04012024,16122023
247,04012024,16122023
248,04012024,16122023
249,04012024,16122023
250,04012024,16122023
251,04012024,16122023
252,04012024,17122023
253,04012024,21122023
254,04012024,21122023
255,04012024,21122023
256,04012024,21122023
257,04012024,21122023
258,04012024,21122023
259,04012024,22122023
260,04012024,22122023
261,04012024,25122023
262,04012024,27122023
263,04012024,27122023
264,04012024,27122023
265,04012024,27122023
266,04012024,27122023
267,04012024,29122023
268,04012024,29122023
269,04012024,29122023
270,04012024,03012024
271,04012024,03012024
272,04012024,03012024
273,04012024,03012024
274,04012024,03012024
275,04012024,04012024
276,05012024,06122023
277,05012024,06122023
278,05012024,06122023
279,05012024,06122023
280,05012024,06122023
281,05012024,06122023
282,05012024,06122023
283,05012024,06122023
284,05012024,06122023
285,05012024,06122023
286,05012024,06122023
287,05012024,06122023
288,05012024,06122023
289,05012024,06122023
290,05012024,06122023
291,05012024,06122023
292,05012024,06122023
293,05012024,06122023
294,05012024,06122023
295,05012024,07122023
296,05012024,08122023
297,05012024,08122023
298,05012024,10122023
299,05012024,10122023
300,05012024,10122023
301,05012024,11122023
302,05012024,12122023
303,05012024,12122023
304,05012024,15122023
305,05012024,16122023
306,05012024,16122023
307,05012024,16122023
308,05012024,19122023
309,05012024,19122023
310,05012024,19122023
311,05012024,20122023
312,05012024,20122023
313,05012024,20122023
314,05012024,20122023
315,05012024,21122023
316,05012024,21122023
317,05012024,22122023
318,05012024,23122023
319,05012024,23122023
320,05012024,24122023
321,05012024,24122023
322,05012024,24122023
323,05012024,26122023
324,05012024,26122023
325,05012024,26122023
326,05012024,26122023
327,05012024,26122023
328,05012024,28122023
329,05012024,28122023
330,05012024,28122023
331,05012024,28122023
332,05012024,28122023
333,05012024,28122023
334,05012024,28122023
335,05012024,01012024
336,05012024,02012024
337,05012024,02012024
338,05012024,02012024
339,05012024,02012024
340,05012024,02012024
341,05012024,02012024
342,05012024,02012024
343,05012024,02012024
344,05012024,02012024
345,05012024,02012024
346,05012024,02012024
347,05012024,02012024
348,05012024,03012024
349,05012024,03012024
350,05012024,03012024
351,05012024,03012024
352,05012024,05012024
353,05012024,05012024
354,05012024,05012024
355,05012024,05012024
356,05012024,05012024
357,05012024,05012024
358,05012024,05012024
359,05012024,05012024
360,06012024,07122023
361,06012024,07122023
362,06012024,07122023
363,06012024,07122023
364,06012024,07122023
365,06012024,07122023
366,06012024,07122023
367,06012024,07122023
368,06012024,07122023
369,06012024,07122023
370,06012024,07122023
371,06012024,07122023
372,06012024,07122023
373,06012024,07122023
374,06012024,07122023
375,06012024,07122023
376,06012024,07122023
377,06012024,07122023
378,06012024,08122023
379,06012024,08122023
380,06012024,08122023
381,06012024,08122023
382,06012024,09122023
383,06012024,12122023
384,06012024,15122023
385,06012024,15122023
386,06012024,15122023
387,06012024,15122023
388,06012024,18122023
389,06012024,18122023
390,06012024,18122023
391,06012024,19122023
392,06012024,19122023
393,06012024,22122023
